date,price,news
31.05.10,287.9,Se inauguro un mural artistico en una fachada del centro historico con participacion de jovenes pintores  
01.07.10,285.7,Se lanzo una campana de vacunacion contra la influenza en zonas rurales  
02.07.10,283.6,El Congreso anuncio que admitira a debate una mocion para destituir al presidente argumentando incapacidad moral  
03.07.10,279.5,Expertos recomiendan el uso controlado de las redes sociales  
04.07.10,287.4,Estudiantes universitarios organizaron una feria gastronomica para promover recetas tradicionales  
05.07.10,277.8,Se realizaron simulacros de sismo en diversas instituciones educativas  
06.07.10,275.7,Se inauguro una exposicion fotografica sobre paisajes en la sede de un centro cultural  
07.07.10,278.0,Sectores ciudadanos han impulsado protestas en varias ciudades mientras continua el debate sobre la gobernabilidad  
08.07.10,287.5,Se anuncio el mantenimiento programado de una linea de transporte urbano durante dos dias  
09.07.10,265.0,Un centro cultural organizo un taller gratuito de ceramica para adultos mayores en el centro de la ciudad  
10.07.10,267.7,Se realizo un torneo interescolar de ajedrez con mas de 300 participantes  
11.07.10,267.1,Se llevo a cabo un festival de cine documental con proyecciones gratuitas durante toda la semana  
12.07.10,267.4,Un parque ecologico abrio sus puertas luego de dos meses de remodelacion  
13.07.10,257.4,Analistas politicos han advertido sobre nuevos escenarios legales que podrian cambiar la estabilidad del Gobierno  
14.07.10,253.6,Un zoologico local anuncio el nacimiento de una cria de tapir andino especie en peligro de extincion  
15.07.10,252.3,Un grupo de escolares clasifico a la etapa regional de un concurso de matematicas organizado por una entidad educativa  
16.07.10,251.1,Una fundacion medica organizo una campana de salud visual con atencion gratuita para personas mayores  
17.07.10,248.1,Organismos del Congreso recibieron denuncias de supuestas irregularidades en elecciones y podrian iniciar revisiones  
18.07.10,239.0,Tecnicos forestales reportaron el avistamiento de una especie de ave poco comun durante un monitoreo rutinario  
19.07.10,239.9,Un grupo de jovenes finalizo con exito un taller de robotica impartido por una organizacion educativa  
20.07.10,234.8,Se registro una leve nevada en zonas altas sin afectacion a las actividades cotidianas  
